"Mission Name","Year","Objective","Outcome","Reason","Success"
"Kosmos 482","1972","Study Venus.","Failure. Stuck in Earth's orbit and eventually re-entered the atmosphere.","Launch vehicle failure.",0
"Nozomi","1998","Study the Martian atmosphere and its interaction with the solar wind.","Failure. Did not achieve Mars orbit.","Electrical failures and fuel leaks after a solar flare damaged onboard systems.",0
"ASTRO-E","2000","Observe X-rays from high-energy astronomical phenomena.","Failure. Did not reach orbit.","Launch vehicle malfunction.",0
"Observer","1986","Earth observation for various scientific purposes.","Failure. Launch failure led to the destruction of the satellite.","Malfunction in the Titan rocket's second stage.",0
"Beagle 2","2003","Study the atmosphere, climate, and geology of Mars.","Failure. Landed on Mars but failed to fully deploy and communicate.","Likely a solar panel deployment failure.",0
"Fobos 1","1988","Study Mars' moon Phobos.","Failure. Lost contact en route to Mars.","Command error turned the spacecraft's antennas away from Earth, leading to a loss of communication.",0
"Challenger STS-51-L","1986","Deploy satellites, conduct spacewalks, and carry out various experiments.","Tragedy. Broke apart 73 seconds into its flight.","O-ring failure in the right solid rocket booster, causing structural failure.",0
"Gloria","2011","Monitor land and coastal areas.","Failure. Did not reach the intended orbit.","Launch vehicle anomaly.",0

"Apollo 11","1969","First manned mission to land on the Moon.","Success. Neil Armstrong and Buzz Aldrin walked on the Moon.","Extensive testing, experienced crew, and robust mission planning.",1
"Voyager 1","1977","Study the outer Solar System and interstellar space beyond.","Success. It's currently in interstellar space, still sending data.","Durable design, efficient trajectory, and solid ground support.",1
"Hubble Space Telescope","1990","Observe distant stars, galaxies, and phenomena.","Success. Provided a multitude of invaluable data and images.","Periodic maintenance by space shuttle crews, adaptive software, and orbital longevity.",1
"Curiosity Rover","2012","Explore and study Mars' Gale Crater.","Success. Found evidence of ancient water flows and organic molecules.","Advanced instrument suite, adaptive AI, and durable mobility system.",1
"OSIRIS-REx","2016","Collect samples from the asteroid Bennu and return them to Earth.","Success. Successful sample collection and return trajectory initiated.","Advanced autonomous operations, detailed surface mapping, and sample collection mechanism.",1
"Mars Pathfinder & Sojourner Rover","1997","Demonstrate a new landing technology and explore Mars.","Success. Sent back thousands of images and conducted several experiments.","Innovative airbag landing system and effective rover design.",1
"Cassini-Huygens","1997","Study Saturn and its moon Titan.","Success. Gave detailed data on Saturn, its rings, and Titan.","Collaboration between NASA, ESA, and the Italian space agency; durable design and comprehensive instrument suite.",1
"Rosetta & Philae","2004","Study comet 67P/Churyumov–Gerasimenko and land on it.","Success. First mission to orbit and land on a comet, providing a wealth of data on its composition.","Innovative design, a decade-long commitment, and complex gravity assists.",1
"GRAIL","2011","Map the Moon's gravitational field.","Success. Produced a high-resolution map, revealing insights about the Moon's internal structure.","Twin spacecraft design for precise measurements and low-altitude orbital insertion.",1
"Parker Solar Probe","2018","Study the outer corona of the Sun.","Success. Became the closest-ever spacecraft to the Sun, providing detailed data on solar wind and magnetic fields.","Heat-resistant shield, innovative trajectory for close solar passes, and state-of-the-art instruments.",1
"TESS","2018","Search for exoplanets in orbit around the brightest dwarf stars in the sky.","Success. Identified numerous exoplanet candidates in a short period.","Highly efficient cameras, wide field of view, and stable orbit for precise measurements.",1
"Insight","2018","Study the deep interior of Mars.","Success. Recorded marsquakes and provided data on Mars' interior.","Advanced seismometer, heat probe, and radio science experiment.",1
"Perseverance Rover","2020","Search for signs of ancient life and collect samples of rock and regolith (broken rock and soil) for a possible return to Earth.","Success. Landed successfully and started its science operations, including the deployment of the Ingenuity helicopter.","Advanced sampling system, robust mobility, and state-of-the-art instruments.",1
Here are the five additional missions with their respective details and success 
"Stardust","1999","Collect samples from the comet Wild 2.","Success. Returned samples to Earth in 2006.","Robust comet dust capture technology using aerogel.",1
"Kepler Space Telescope","2009","Discover Earth-like planets orbiting other stars.","Success. Discovered over 2,600 exoplanets.","Sensitive photometer, stable orbit, and rigorous data analysis.",1
"New Horizons","2006","Flyby study of Pluto and the Kuiper Belt.","Success. Sent detailed data on Pluto and continued on to the Kuiper Belt object Arrokoth.","Fastest spacecraft ever launched, rigorous pre-flight testing, and adaptive mission planning.",1
"Pioneer 10","1972","First mission to the outer planets, intended to travel through the asteroid belt and study Jupiter.","Success. Sent the first close-up images of Jupiter and became the first spacecraft to travel beyond our Solar System.","Robust design able to handle Jupiter's radiation and pioneering use of a gravitational slingshot trajectory.",1
"Opportunity Rover","2004","Search for signs of past water on Mars.","Success. Operated for nearly 15 years and provided evidence of past water activity.","Solar panel design for longevity, advanced mobility, and responsive ground control.",1
"Juno","2011","Study Jupiter's atmosphere, magnetosphere, and interior.","Success. Revealed unexpected findings about the planet's core, atmospheric dynamics, and magnetic fields.","Solar-powered design and protective armor against radiation.",1
"MESSENGER","2004","Study Mercury's chemical composition, geology, and magnetic field.","Success. Mapped Mercury comprehensively and discovered water ice at its poles.","Heat-resistant technologies and effective use of gravity assists for trajectory.",1
"Dawn","2007","Visit and study the two largest objects in the asteroid belt: Vesta and Ceres.","Success. Discovered evidence of subsurface oceans on Ceres.","Ion propulsion system and versatile instrument suite.",1
"Galileo","1989","Study Jupiter and its moons.","Success. Discovered evidence of subsurface oceans on Europa.","Sturdy spacecraft design, gravity assists for trajectory, and prolonged mission planning.",1
"Mars Odyssey","2001","Map the Martian surface and search for evidence of water.","Success. Found vast deposits of water ice and served as a relay for other Mars missions.","Innovative thermal emission imaging system and stable orbit insertion.",1
"SOHO","1995","Study the Sun, from its deep core to the outer corona and solar wind.","Success. Provided data on solar activity, which has implications for space weather.","Collaboration between the European Space Agency (ESA) and NASA, state-of-the-art instrumentation.",1
"Viking","1975","Conduct high-resolution imaging of Mars and search for signs of life.","Success. Sent back the first high-resolution images of Mars and conducted biology experiments.","Dual-mission approach (orbiter and lander) and rigorous pre-launch testing.",1
"Spitzer Space Telescope","2003","Study the universe in infrared.","Success. Observed previously unseen details of known cosmic objects and found distant galaxies.","Advanced infrared detectors and cryogenic cooling system.",1
"Voyager","1977","Conduct a grand tour of the outer planets and enter interstellar space.","Success. Voyager 1 is currently in interstellar space, while Voyager has passed the heliosphere. Both sent invaluable data on outer planets.","Advanced instrumentation for the time, extended mission lifespan, and ability to adapt to new scientific objectives.",1
